0,Strasse
08.06.2021,"AM FLOSSGRABEN, AM GIESSBACH, AM GRAFENACKER, AM HOHEN STEIN, AM KNITTELBERG, AM LIEPOLDSACKER, BEUNSTRAßE, BRUCHWALDSTRAßE, DURLACHER STRAßE, EDELMÄNNE, EUGEN-KLEIBER-STRAßE, FRÖBELSTRAßE, GARTENÄCKERWEG, GRAF-KONRAD-STRAßE, GREZZOSTRAßE, HEINRICH-KURZ-STRAßE, HEINRICH-LILIENFEIN-WEG, HERMANN-WEICK-WEG, HILDASTRAßE, HOFÄCKERWEG, IM FISCHERWEG, IM JÄGER, IM LANZINGER, IM MEHL, IM UNTERVIERTEL, IN DEN WEIHERGÄRTEN, IN DER SETZ, JUNGE HÄLDEN, KARL-LEOPOLD-STRAßE, NIDDAPLATZ, NIDDASTRAßE, OBERE SETZ, RATHAUSPLATZ, ROSSWAGSTRAßE, SCHUSTERGASSE, VIERZEHN MORGEN, WEINGARTENER STRAßE, WERRABRONNER STRAßE, WILHELM-MÖSSINGER-STRAßE, WISCHAUER WEG, ZIEGELEISTRAßE"
09.06.2021,"AM GROLLENBERG, AM KIRCHBERG, AM SCHWALBENLOCH, AM VIEHWEG, AN DER ROSSWEID, AN DER SILBERGRUB, AUF DEM KATZENBERG, AUGUSTENBURGSTRAßE, BIESESTRAßE, BLUMENSTRAßE, BÜRGERSTRAßE, CARL-LANGHEIN-STRAßE, DEKAN-HOFHEINZ-STRAßE, ERBPRINZENHOF, ERBPRINZENSTRAßE, EUGEN-WOLLFARTH-WEG, FIESSLERWEG, FIKENTSCHERSTRAßE, FRIEDRICHSPLATZ, GEORG-SCHOLZ-STRAßE, GRESCHBACHSTRAßE, GUSTAV-HOFMANN-STRAßE, HEINSTRAßE, HERRENSTRAßE, IM HOHENGRUND, IM SONNENTAL, IM STALBÜHL, KALLMORGENSTRAßE, KAMPMANNSTRAßE, KARL-MARTIN-GRAFF-STRAßE, KARL-SECKINGER-STRAßE, KIRCHSTRAßE, LAMMSTRAßE, MARGARETHE-HORMUTH-STRAßE, OHMSTRAßE, OTTO-SCHLIEßLER-STRAßE, PAUL-REIN-STRAßE, REINHOLD-FRANK-STRAßE, RINGELBERGHOHL, RUMMSTRAßE, STAIGSTRAßE, STÄNDEHAUSSTRAßE, SÜDLICHER HERRENHOF, VOGELSANG, WINKLER-DENTZ-STRAßE"
10.06.2021,"AM KEGELSGRUND, AM MÜNCHSBERG, AN DER PFINZ, BERGHAUSENER STRAßE, BRÜCKENÄCKERWEG, BÜCHELBERGSTRAßE, EISENBAHNSTRAßE, FEINDHAG, FRIEDRICHSTRAßE, FROSCHHÖHLE, IM GÄSSLE, IM OBERVIERTEL, IM SPEITEL, KÖBLERWEG, KRAPPMÜHLENWEG, KRUMME STRAßE, LAUBPLATZ, MALLENWEG, MARTIN-LUTHER PLATZ, MARTIN-LUTHER-STRAßE, MÜHLSTRAßE, OBERAUSSTRAßE, OBERFELDWEG, RATHAUSGASSE, REBBERGWEG, REITHOHL, RODBERGWEG, ROSALIENBERG, SCHEELWEG, SCHULTHEIß-KIEFER-STRAßE, TORWIESENSTRAßE, TULLAWEG, UNTERER LICHTENBERG WEG, WIESENÄCKERWEG"
11.06.2021,"ADLERSTRAßE, ALTER WEINBERG, AM GRÜNBERG, AM LUSTGARTEN, AM VOGELHÄUSLE, BATZENHOFWEG, BEIM WASSERTURM, BIRKENWÄLDLE, BOCKWEG, DACHSBAU, DÜRRENWETTERSBACHER STRAßE, EBERSTEINSTRAßE, FUCHSBAU, FÜNFZIG MORGEN, GARTENWEG, HASENSPRUNG, HEBELSTRAßE, HINTERE SPITALSTRAßE, HIRSCHWEG, HOPFENACKER, ILTISWEG, KARL-FRIEDRICH-STRAßE, KIRCHPLATZ, KÖPFLE, KREUZSTRAßE, KRONENPLATZ, KRONENSTRAßE, LINDENSTRAßE, MEDERSBUCKEL, NEUER WEG, OCHSENWIESE, PFARRER-LÖW-STRAßE, REHBUCKEL, REIHENSTRAßE, ROSENGARTEN, ROTENBÜSCHLE, SCHAFWEIDE, SCHILLING-VON-CANSTATT-STRAßE, SCHLOßPLATZ, SEEGASSE, SPITALHOF, STEINSTRAßE, TAGLÖHNERGÄRTEN, TIEFENTALSTRAßE, WIESELWEG, WOLFARTSWEIERER WEG, ZIRKEL, ZWEIBRÜCKENER STRAßE"
15.06.2021,"ALBERT-SCHNELLER-WEG, AM BERG, AM GRÄFELSBERG, AM MICHELSBERG, AM PFARRGARTEN, AM STEINHÄUSLE, AM WETTERBACH, BAUMGASSE, BERGACKER, BUSENBACHER STRAßE, DOBELSTRAßE, ENGESSERSTRAßE, ENGLERSTRAßE, FASANENSTRAßE, FRITZ-ERLER-STRAßE, HAULENBERGSTRAßE, HIRSAUER STRAßE, HOHENWETTERSBACHER STRAßE, HORFSTRAßE, IM EICHBUSCH, IM HOLDERBUSCH, IM LÖHL, IM RODEL, KIRCHSTAIG, LEHMANNSTRAßE, LIEBENZELLER STRAßE, NEUENBÜRGER STRAßE, NEUER ZIRKEL, PFEILERWEG, RICHARD-WILLSTÄTTER-ALLEE, RÖTLINGWEG, WALDHORNPLATZ, WALDHORNSTRAßE, WILDBADER STRAßE, WINGERTGASSE, ZÄHRINGERSTRAßE, ZUM WALD, ZUR SCHMALZWIES"
16.06.2021,"AM HERRENWEG, AM WIESENACKER, BALINGER STRAßE, BÖBLINGER STRAßE, BÖHMERWALDSTRAßE, CANNSTATTER STRAßE, DONAULANDSTRAßE, EGERLANDSTRAßE, ESSLINGER STRAßE, HEIDENHEIMER STRAßE, IM SPIEGELGÄRTLE, LEONBERGER STRAßE, LUDWIGSBURGER STRAßE, MARBACHER STRAßE, MECKLENBURGER STRAßE, OSTPREUSSENSTRAßE, REICKERTSTRAßE, REUTLINGER STRAßE, SIGMARINGER STRAßE, THÜRINGER STRAßE, TÜBINGER STRAßE, ULMER STRAßE, WAIBLINGER STRAßE, WIESENSTRAßE, ZUR DORFWIES, ZUR SEEPLATTE, ZUR ZIEGELHÜTTE"
17.06.2021,"AHAWEG, ALTE PALMBACHER STRAßE, AM ZOLLSTOCK, AUF DER RÖMERSTRAßE, BISMARCKSTRAßE, FICHTESTRAßE, FRIEDHOFWEG, GRÜNWETTERSBACHER STRAßE, GUSTAV-MEERWEIN-STRAßE, HENRI-ARNAUD-STRAßE, HOFFSTRAßE, IM BRUNNENFELD, IM KLOTH, IM NEUBRUCH, IM TANN, IM WINTERROT, JAHNSTRAßE, OB DEN GÄRTEN, OB DER EICHHÄLDEN, RIEFSTAHLSTRAßE, SCHEFFELPLATZ, SCHIRMERSTRAßE, SEMINARSTRAßE, STEINHAUERWEG, TALSTRAßE, VIERORDTSTRAßE, WALDBRONNER STRAßE, WALDENSERSTRAßE, WILLY-ANDREAS-ALLEE, WILLY-BRANDT-ALLEE, WÖRTHSTRAßE, ZUM HEIDENFELD"
18.06.2021,"AM HANG, AM ILLWIG, AM MAUERANGER, AM SCHLEIFWEG, AM THOMASHÄUSLE, AM WIESENRAIN, AN DER KLAM, BURGUNDERSTRAßE, EFEUSTRAßE, EICHWALDSTRAßE, ENZIANSTRAßE, FARNWEG, GÄNSBERGSTRAßE, GERBERASTRAßE, GUTEDELSTRAßE, HERMANN-LÖNS-WEG, HINTERM ZAUN, HÖHENSTRAßE, KARLSBADER STRAßE, KLEINSTEINBACHER STRAßE, KÖHLERWEG, LAMPRECHTSHOF, NEUBERGSTRAßE, OBERE GASS, ORTSSTRAßE, PALMBACHER STRAßE, PFEFFERÄCKERSTRAßE, REBGÄRTENSTRAßE, REUTSTRAßE, RIESLINGSTRAßE, RULÄNDERSTRAßE, SILVANERSTRAßE, SONNENBERGSTRAßE, STUPFERICHER WEG, STUTENPFERCHSTRAßE, THOMASHOFSTRAßE, TRAMINERSTRAßE, TROLLINGERSTRAßE, WEIKLESSTRAßE, WERRENSTRAßE, WIESENTALSTRAßE, WINDELBACHSTRAßE, ZUM BERGLE, ZUM SPORTZENTRUM"
21.06.2021,"INDIANARING, KANALWEG, OHIOSTRAßE, RHODE-ISLAND-ALLEE, VERMONTRING"
23.06.2021,"KENTUCKYALLEE, LOUISIANARING, TENNESSEEALLEE"
